Machine_ID,Hydraulic_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(?C),Spindle_Bearing_Temperature(?C),Downtime
Makino-L1-Unit1-2013,71.04,25.6,46,33.4,Machine_Failure
Makino-L1-Unit1-2013,125.33,35.3,47.4,34.6,Machine_Failure
Makino-L3-Unit1-2015,71.12,13.1,40.7,33,Machine_Failure
Makino-L2-Unit1-2015,139.34,24.4,44.2,40.6,Machine_Failure
Makino-L1-Unit1-2013,60.51,4.1,47.3,31.4,Machine_Failure
Makino-L2-Unit1-2015,137.37,5.4,48,32.7,Machine_Failure
Makino-L1-Unit1-2013,135.93,19.3,48.8,37.4,Machine_Failure
Makino-L3-Unit1-2015,127.7151635,20.8,45.8,37.5,No_Machine_Failure
Makino-L3-Unit1-2015,123.618456,4.5,51.5,32.1,No_Machine_Failure
Makino-L3-Unit1-2015,134.02,14,47.9,35.2,Machine_Failure
Makino-L2-Unit1-2015,71.71,34.3,43,32.4,Machine_Failure
Makino-L1-Unit1-2013,134.54,11.5,46.2,37.6,Machine_Failure
Makino-L2-Unit1-2015,55.53,14.7,47.2,36.2,Machine_Failure
Makino-L2-Unit1-2015,61.73,30.3,50.2,28,Machine_Failure
Makino-L3-Unit1-2015,80.27,29.8,51.2,31.1,Machine_Failure
Makino-L3-Unit1-2015,142.36,28.7,44.9,31,Machine_Failure
Makino-L3-Unit1-2015,63.76,27,45.1,38.6,Machine_Failure
Makino-L3-Unit1-2015,141.14,26.4,52.6,33.8,Machine_Failure
Makino-L2-Unit1-2015,93.65,19.5,52.3,35.2,Machine_Failure
Makino-L3-Unit1-2015,74.86,15.7,44.5,38.7,Machine_Failure
Makino-L3-Unit1-2015,80.34,6.9,48.1,38.3,Machine_Failure
Makino-L3-Unit1-2015,139.6712071,8.7,48.2,41,No_Machine_Failure
Makino-L2-Unit1-2015,91.5,4.9,47.2,38.1,Machine_Failure
Makino-L3-Unit1-2015,148.662548,11.9,49.4,35.3,No_Machine_Failure
Makino-L2-Unit1-2015,131.0481918,5.7,50.4,36.7,No_Machine_Failure
Makino-L1-Unit1-2013,145.2990279,6.8,48.3,36,No_Machine_Failure
