Machine_ID,Temperature,Run_Time,Downtime_Flag
1,66,152,0
2,65,93,0
3,85,111,1
4,93,109,1
5,79,153,1
6,92,115,1
7,72,85,1
8,90,130,0
9,79,116,0
10,93,151,1
11,67,119,0
12,89,98,1
13,77,134,0
14,79,107,1
15,90,125,0
16,90,152,0
17,81,148,0
18,87,110,1
19,82,81,1
20,69,154,1
21,72,96,1
22,88,144,0
23,71,94,0
24,69,118,1
25,90,115,1
26,91,146,0
27,67,129,0
28,70,107,0
29,87,106,0
30,69,129,1
31,79,105,0
32,94,131,0
33,67,147,0
34,88,153,1
35,83,102,1
36,80,95,1
37,85,95,0
38,85,113,0
39,93,104,0
40,88,129,1
41,93,140,1
42,71,145,0
43,68,108,1
44,83,148,1
45,85,153,1
46,68,150,0
47,83,131,0
48,84,80,1
49,70,97,0
50,66,91,0
51,82,96,1
52,89,102,1
53,88,133,0
54,83,105,0
55,67,157,1
56,84,102,1
57,87,84,1
58,87,105,1
59,85,137,1
60,67,83,1
61,88,126,0
62,92,90,0
63,76,137,0
64,72,93,0
65,89,155,0
66,74,91,1
67,73,116,0
68,81,130,1
69,90,108,0
70,79,121,1
71,77,92,0
72,81,80,0
73,84,145,1
74,71,117,0
75,66,114,0
76,65,86,1
77,87,144,1
78,68,94,1
79,91,135,0
80,93,129,1
81,92,88,0
82,83,106,0
83,89,88,0
84,74,85,1
85,89,98,1
86,78,81,1
87,73,115,0
88,67,136,0
89,65,80,0
90,94,118,0
91,94,96,1
92,87,118,1
93,72,108,0
94,74,91,1
95,81,138,0
96,66,137,1
97,65,128,0
98,86,109,1
99,83,107,0
100,66,122,1
