Machine_ID,Temperature,Run_Time,Downtime_Flag
1,71,153,1
2,84,141,1
3,93,93,1
4,79,127,0
5,75,94,0
6,72,151,1
7,93,157,1
8,85,141,1
9,71,119,0
10,90,159,1
11,83,132,1
12,87,103,1
13,75,105,0
14,75,139,1
15,88,120,1
16,85,108,0
17,68,94,0
18,72,124,0
19,88,144,1
20,67,150,1
21,86,88,1
22,85,80,0
23,66,87,0
24,88,142,1
25,76,90,0
26,94,87,1
27,70,114,0
28,66,114,0
29,92,112,1
30,85,84,0
31,65,120,0
32,76,107,0
33,90,86,1
34,86,152,1
35,93,151,1
36,76,91,0
37,89,113,1
38,81,112,0
39,91,127,1
40,91,102,1
41,74,141,1
42,92,116,1
43,92,123,1
44,80,114,0
45,79,144,1
46,94,126,1
47,94,157,1
48,79,82,0
49,94,80,1
50,83,84,0
51,76,93,0
52,87,106,1
53,84,88,0
54,89,158,1
55,67,94,0
56,69,121,0
57,83,156,1
58,71,130,0
59,85,142,1
60,73,131,1
61,71,83,0
62,82,102,0
63,68,94,0
64,89,122,1
65,92,108,1
66,78,115,0
67,82,92,0
68,90,111,1
69,73,150,1
70,90,138,1
71,85,107,0
72,66,145,1
73,84,121,0
74,92,124,1
75,79,141,1
76,92,136,1
77,71,85,0
78,76,107,0
79,93,107,1
80,72,123,0
81,79,109,0
82,67,141,1
83,78,154,1
84,81,141,1
85,68,80,0
86,82,106,0
87,72,141,1
88,68,156,1
89,66,82,0
90,94,149,1
91,70,151,1
92,86,106,1
93,74,88,0
94,68,141,1
95,86,116,1
96,93,130,1
97,82,123,0
98,90,103,1
99,76,158,1
100,66,138,1
101,150,5,1
102,10,200,1
103,180,300,1
104,5,10,1
105,200,400,1
106,300,-20,1
107,-50,500,1
108,400,600,1
109,0,700,1
110,250,800,1
